121		עבד	<BD	<BD[	work, serve
122		אֵד	>;D	>D/	[uncertain]
123		עלה	<LH	<LH[	ascend
124		שׁקה	CQH	CQH[	give drink
125		יצר	JYR	JYR[	shape
126		עָפָר	<@P@R	<PR/	dust
127		נפח	NPX	NPX[	blow
128		אַף	>AP	>P/	nose
129		נְשָׁמָה	N:C@M@H	NCMH/	breath
130		חַיִּים	XAJ.IJM	XJJM/	life
131		נטע	NV<	NV<[	plant
132		גַּן	G.AN	GN/	garden
133		עֵדֶן	<;DEN	<DN=/	Eden
134		קֶדֶם	QEDEM	QDM/	front
135		שׂים	FJM	FJM[	put
136		שָׁם	C@M	CM	there
137		חמד	XMD	XMD[	desire
138		מַרְאֶה	MAR:>EH	MR>H/	sight
139		מַאֲכָל	MA>:AK@L	M>KL/	food
140		דַּעַת	D.A<AT	D<T/	knowledge
141		רַע	RA<	R</	evil
142		נָהָר	N@H@R	NHR/	stream
143		פרד	PRD	PRD[	divide
144		אַרְבַּע	>AR:B.A<	>RB</	four
145		רֹאשׁ	RO>C	R>C/	head
146		שֵׁם	C;M	CM/	name
147		פִּישֹׁון	P.IJCOWN	PJCWN/	Pishon
148		הוּא	HW.>	HW>	he
149		סבב	SBB	SBB[	turn
150		חֲוִילָה	X:AWIJL@H	XWJLH/	Havilah
151		זָהָב	Z@H@B	ZHB/	gold
152		הִיא	HIJ>	HJ>	she
153		בְּדֹלַח	B.:DOLAX	BDLX/	bdellium-gum
154		אֶבֶן	>EBEN	>BN/	stone
155		שֹׁהַם	COHAM	CHM/	carnelian
156		גִּיחֹון	G.IJXOWN	GJXWN/	Gihon
157		כּוּשׁ	K.W.C	KWC/	Cush
158		חִדֶּקֶל	XID.EQEL	XDQL/	Tigris
159		הלך	HLK	HLK[	walk
160		קִדְמָה	QID:M@H	QDMH/	front
161		אַשּׁוּר	>AC.W.R	>CWR/	Asshur
162		פְּרָת	P.:R@T	PRT/	Euphrates
163		לקח	LQX	LQX[	take
164		נוח	NWX	NWX[	settle
165		שׁמר	CMR	CMR[	keep
166		צוה	YWH	YWH[	command
167		אכל	>KL	>KL[	eat
168		מות	MWT	MWT[	die
169		בַּד	B.AD	BD/	linen, part, stave
170		עֵזֶר	<;ZER	<ZR/	help, helper
171		נֶגֶד	NEGED	NGD/	counterpart
172		בוא	BW>	BW>[	come
173		מָה	M@H	MH	what
174		מצא	MY>	MY>[	find
175		נפל	NPL	NPL[	fall
176		תַּרְדֵּמָה	T.AR:D.;M@H	TRDMH/	sleep
177		ישׁן	JCN	JCN=[	sleep
178		צֵלָע	Y;L@<	YL</	side
179		סגר	SGR	SGR[	close
180		בָּשָׂר	B.@F@R	BFR/	flesh
181		בנה	BNH	BNH[	build
182		אִשָּׁה	>IC.@H	>CH/	woman
183		זֹאת	ZO>T	Z>T	this
184		פַּעַם	P.A<AM	P<M/	foot
185		עֶצֶם	<EYEM	<YM/	bone
186		אִישׁ	>IJC	>JC/	man
